Share,Last Traded Price,High Price,Low Price,Close,Volume,Open
INDIGO,1123.9,1130,1075,1075,23.0613504,353.34
INDLMETER,107.25,123,123,123,0.038952299,354.67
INDNIPPON,660.85,123,123,123,0.560081497,348.95
INDOCO,229.95,249.8,227.05,227.05,0.48981434,343
INDORAMA,37.2,123,123,123,0.408209386,335.95
INDOSOLAR,5.95,123,123,123,0.342994385,334.7
INDOTECH,220.25,123,123,123,0.31249609,336.04
INDOTHAI,36.65,123,123,123,0.051975473,333.65
INDOWIND,4.4,123,123,123,0.020398767,327.59
INDRAMEDCO,57.75,123,123,123,0.572628055,331.37
INDSWFTLAB,45.65,123,123,123,0.081515385,318.94
INDSWFTLTD,8.35,123,123,123,0.006673294,325.16
INDTERRAIN,205.9,209.1,207.1,207.1,0.44963095,316.68
INDUSINDBK,1431.9,1438,1424.05,1424.05,161.1694431,317.36
INEOSSTYRO,718.8,721,712.25,712.25,0.352060602,328.99
INFIBEAM,1003.15,1024.25,991.05,991.05,51.46559846,326.9
INFINITE,236.25,123,123,123,0.603017581,329.75
INFOMEDIA,4.95,123,123,123,0.034582592,330
INFRATEL,366.65,379,366.5,366.5,99.59891545,326.6
INFY,943.65,949.8,937.55,937.55,410.5975927,330.55
INGERRAND,898.95,905.9,887,887,0.474099406,333.25
INOXLEISUR,280.45,285.35,280.25,280.25,3.509676712,331.78
INOXWIND,198.95,202,196.5,196.5,6.3313007,338.17
INSECTICID,662.6,123,123,123,1.269652253,345.7
INTEGRA,123,123,123,123,0.000317398,343.18
INTELLECT,128.1,129.4,125.65,125.65,10.15215488,346.5
INTENTECH,135.1,123,123,123,123,348.87
INVENTURE,12.8,123,123,123,0.34032927,341.1
IOB,30.65,30.95,30.3,30.3,2.475342709,334.8
IOC,441.45,444.5,432.3,432.3,167.1670817,335.97
IOLCP,66.35,67.25,65.8,65.8,0.438081476,336.78
IPAPPM,348.1,354.15,345,345,0.825610473,335.5
IPCALAB,549.6,560.5,550.35,550.35,6.284966173,329.97
IRB,262.55,264.8,247.2,247.2,34.53959762,339.56
ISFT,380.1,384.8,377.1,377.1,0.973229343,342.08
ISMTLTD,13.75,123,123,123,0.316151762,336.47
ITC,273.95,279.15,274,274,264.2119596,332
ITDC,648.3,655,635.3,635.3,4.654060748,339.2
ITDCEM,188.35,190.6,187.3,187.3,2.969223855,345.66
ITI,106.35,109.4,106.55,106.55,3.87059271,346.12
IVC,16,123,123,123,0.547567981,349.02
IVP,162.6,168.75,162.05,162.05,0.31300749,348.89
IVRCLINFRA,5.1,123,123,123,0.76954546,347.86
IZMO,55.3,123,123,123,0.22322025,349.69
